,time,open,high,low,close,adjcp,volume,tic,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,split_val
0,2022-05-20,3080.0,3125.0,3070.0,3109.949951171875,3109.949951171875,778957.0,ASIANPAINT.NS,0.0,,,,,,3109.949951171875,3109.949951171875,29.43000030517578,1.0
1,2022-05-20,659.75,675.75,658.0,673.0999755859375,673.0999755859375,9708672.0,AXISBANK.NS,0.0,,,,,,673.0999755859375,673.0999755859375,29.43000030517578,1.0
2,2022-05-20,3760.0,3849.0,3735.0,3787.800048828125,3787.800048828125,396832.0,BAJAJ-AUTO.NS,0.0,,,,,,3787.800048828125,3787.800048828125,29.43000030517578,1.0
3,2022-05-20,12639.0,12699.0,12431.650390625,12561.7001953125,12561.7001953125,323330.0,BAJAJFINSV.NS,0.0,,,,,,12561.7001953125,12561.7001953125,29.43000030517578,1.0
4,2022-05-20,5840.0,5841.9501953125,5712.0,5769.60009765625,5769.60009765625,1098610.0,BAJFINANCE.NS,0.0,,,,,,5769.60009765625,5769.60009765625,29.43000030517578,1.0
5,2022-05-20,688.5,691.5,683.0,687.9000244140625,687.9000244140625,5577407.0,BHARTIARTL.NS,0.0,,,,,,687.9000244140625,687.9000244140625,29.43000030517578,1.0
6,2022-05-20,950.0,982.5999755859375,939.0,978.4000244140625,978.4000244140625,2594816.0,CIPLA.NS,0.0,,,,,,978.4000244140625,978.4000244140625,29.43000030517578,1.0
7,2022-05-20,3975.0,4299.10009765625,3975.0,4249.10009765625,4249.10009765625,2480315.0,DRREDDY.NS,0.0,,,,,,4249.10009765625,4249.10009765625,29.43000030517578,1.0
8,2022-05-20,2693.949951171875,2720.0,2652.14990234375,2707.800048828125,2707.800048828125,687007.0,EICHERMOT.NS,0.0,,,,,,2707.800048828125,2707.800048828125,29.43000030517578,1.0
9,2022-05-20,1472.0,1522.0,1468.25,1488.3499755859375,1488.3499755859375,642521.0,GRASIM.NS,0.0,,,,,,1488.3499755859375,1488.3499755859375,29.43000030517578,1.0
10,2022-05-20,1029.0,1034.5,1016.7999877929688,1028.8499755859375,1028.8499755859375,2005622.0,HCLTECH.NS,0.0,,,,,,1028.8499755859375,1028.8499755859375,29.43000030517578,1.0
11,2022-05-20,2165.0,2212.0,2152.300048828125,2201.60009765625,2201.60009765625,3954167.0,HDFC.NS,0.0,,,,,,2201.60009765625,2201.60009765625,29.43000030517578,1.0
12,2022-05-20,1303.0,1324.199951171875,1292.3499755859375,1320.949951171875,1320.949951171875,6959675.0,HDFCBANK.NS,0.0,,,,,,1320.949951171875,1320.949951171875,29.43000030517578,1.0
13,2022-05-20,2545.0,2613.39990234375,2545.0,2590.14990234375,2590.14990234375,751633.0,HEROMOTOCO.NS,0.0,,,,,,2590.14990234375,2590.14990234375,29.43000030517578,1.0
14,2022-05-20,432.0,435.0,421.04998779296875,429.1000061035156,429.1000061035156,9703961.0,HINDALCO.NS,0.0,,,,,,429.1000061035156,429.1000061035156,29.43000030517578,1.0
15,2022-05-20,2290.0,2348.0,2282.699951171875,2325.949951171875,2325.949951171875,2599505.0,HINDUNILVR.NS,0.0,,,,,,2325.949951171875,2325.949951171875,29.43000030517578,1.0
16,2022-05-20,694.7999877929688,711.9000244140625,693.7000122070312,709.5499877929688,709.5499877929688,11695528.0,ICICIBANK.NS,0.0,,,,,,709.5499877929688,709.5499877929688,29.43000030517578,1.0
17,2022-05-20,888.0,900.0,881.2000122070312,896.5,896.5,2286465.0,INDUSINDBK.NS,0.0,,,,,,896.5,896.5,29.43000030517578,1.0
18,2022-05-20,1453.0,1466.75,1446.699951171875,1455.1500244140625,1455.1500244140625,10488908.0,INFY.NS,0.0,,,,,,1455.1500244140625,1455.1500244140625,29.43000030517578,1.0
19,2022-05-20,119.0,119.19999694824219,116.1500015258789,116.94999694824219,116.94999694824219,16158630.0,IOC.NS,0.0,,,,,,116.94999694824219,116.94999694824219,29.43000030517578,1.0
20,2022-05-20,277.0,282.3500061035156,277.0,280.0,280.0,32370771.0,ITC.NS,0.0,,,,,,280.0,280.0,29.43000030517578,1.0
21,2022-05-20,621.0,634.2999877929688,616.7000122070312,631.0999755859375,631.0999755859375,6187868.0,JSWSTEEL.NS,0.0,,,,,,631.0999755859375,631.0999755859375,29.43000030517578,1.0
22,2022-05-20,1811.0,1839.9000244140625,1794.449951171875,1829.1500244140625,1829.1500244140625,2649672.0,KOTAKBANK.NS,0.0,,,,,,1829.1500244140625,1829.1500244140625,29.43000030517578,1.0
23,2022-05-20,1569.4000244140625,1613.449951171875,1561.050048828125,1610.0999755859375,1610.0999755859375,2175224.0,LT.NS,0.0,,,,,,1610.0999755859375,1610.0999755859375,29.43000030517578,1.0
24,2022-05-20,636.0,646.0,626.0,638.4000244140625,638.4000244140625,2631657.0,LUPIN.NS,0.0,,,,,,638.4000244140625,638.4000244140625,29.43000030517578,1.0
25,2022-05-20,896.9000244140625,911.3499755859375,888.6500244140625,903.7999877929688,903.7999877929688,3426756.0,M&M.NS,0.0,,,,,,903.7999877929688,903.7999877929688,29.43000030517578,1.0
26,2022-05-20,7520.5498046875,7648.89990234375,7450.0,7586.60009765625,7586.60009765625,742204.0,MARUTI.NS,0.0,,,,,,7586.60009765625,7586.60009765625,29.43000030517578,1.0
27,2022-05-20,16321.0,16960.0,16250.0498046875,16862.0,16862.0,152477.0,NESTLEIND.NS,0.0,,,,,,16862.0,16862.0,29.43000030517578,1.0
